META|runtime=10.0.11|os=Microsoft Windows 10.0.26100|arch=X64|mlkemSupported=True|backing=CNG
valid-control|ML-KEM-768|pass|seed:20263852|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263853|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263854|import-accepted|encap-accepted
valid-control|ML-KEM-768|pass|seed:20263855|import-accepted|encap-accepted
noncanon-q3329-first|ML-KEM-768|fail-modulus|seed:780000+coeff[0]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-first|ML-KEM-768|fail-modulus|seed:780000+coeff[0]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-first|ML-KEM-768|fail-modulus|seed:780000+coeff[0]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-q3329-middle|ML-KEM-768|fail-modulus|seed:780000+coeff[384]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-middle|ML-KEM-768|fail-modulus|seed:780000+coeff[384]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-middle|ML-KEM-768|fail-modulus|seed:780000+coeff[384]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-q3329-last|ML-KEM-768|fail-modulus|seed:780000+coeff[767]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-last|ML-KEM-768|fail-modulus|seed:780000+coeff[767]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-last|ML-KEM-768|fail-modulus|seed:780000+coeff[767]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
len-minus-1|ML-KEM-768|fail-type|derived:len-1|import-rejected|arg-class:ArgumentException
len-plus-1|ML-KEM-768|fail-type|derived:len+1|import-rejected|arg-class:ArgumentException
rho-zero|ML-KEM-768|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-ff|ML-KEM-768|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-prng-a|ML-KEM-768|pass|derived:rho-mutation|import-accepted|encap-accepted
rho-prng-b|ML-KEM-768|pass|derived:rho-mutation|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264824|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264825|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264826|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264827|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264828|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264829|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264830|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264831|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264832|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264833|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264834|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264835|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264836|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264837|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264838|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264839|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264840|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264841|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264842|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264843|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264844|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264845|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264846|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264847|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264848|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264849|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264850|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264851|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264852|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264853|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264854|import-accepted|encap-accepted
valid-control|ML-KEM-1024|pass|seed:20264855|import-accepted|encap-accepted
noncanon-q3329-first|ML-KEM-1024|fail-modulus|seed:781000+coeff[0]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-first|ML-KEM-1024|fail-modulus|seed:781000+coeff[0]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-first|ML-KEM-1024|fail-modulus|seed:781000+coeff[0]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-q3329-middle|ML-KEM-1024|fail-modulus|seed:781000+coeff[512]:=3329|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-v4000-middle|ML-KEM-1024|fail-modulus|seed:781000+coeff[512]:=4000|import-rejected|crypto-class:Unknown error (0xc1000001)
noncanon-max4095-middle|ML-KEM-1024|fail-modulus|seed:781000+coeff[512]:=4095|import-rejected|crypto-class:Unknown error (0xc1000001)
