axis	vector_id	adapter	lib_version	expected_struct_hex	actual_struct_hex	struct_verdict	struct_notes	expected_msg_hex	actual_msg_hex	msg_verdict	msg_notes
cose_encrypt0_message_construction	encrypt0_empty_protected	lib_pycose	1.1.0	8368456e6372797074304040	8368456e6372797074304040	PASS		d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa4f636970686572746578745f64617461	d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa581fb2124f5f91fa697177d9b40b1e711285edff251be1f3f2a767ddb06d359dab	DIVERGE	actual=d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa581fb2124f5f91fa697177d9b40b1e711285edff251be1f3f2a767ddb06d359dab expected=d08340a20101054caaaaaaaaaaaaaaaaaaaaaaaa4f636970686572746578745f64617461
cose_encrypt0_message_construction	encrypt0_kid_in_protected	lib_go_cose	1.3.0	8368456e63727970743047a201010442abcd40	8368456e63727970743047a201010442abcd40	PASS		d0834847a201010442abcda1054c0000000000000000000000004179		NOT_SUPPORTED	adapter returned None
cose_encrypt0_message_construction	encrypt0_kid_in_protected	lib_pycose	1.1.0	8368456e63727970743047a201010442abcd40	8368456e63727970743047a201010442abcd40	PASS		d0834847a201010442abcda1054c0000000000000000000000004179	d08347a201010442abcda1054c000000000000000000000000513bfbe54b3e0fe558a9a7ca92fd0dc79692	DIVERGE	actual=d08347a201010442abcda1054c000000000000000000000000513bfbe54b3e0fe558a9a7ca92fd0dc79692 expected=d0834847a201010442abcda1054c0000000000000000000000004179
cose_kdf_context	kdf_context_ecdh_es_hkdf256	lib_go_cose	1.3.0	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	84f9ce40a16131784030313031303130313031303130313031303130313031303130313031303130313031303130313031303130313031303130313031303130313031303130313031a1613178403032303230323032303230323032303230323032303230323032303230323032303230323032303230323032303230323032303230323032303230323032303258200000000000000000000000000000000000000000000000000000000000000000	SPEC_VIOLATION	length mismatch: actual=176 expected=109	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_kdf_context	kdf_context_ecdh_es_hkdf256	lib_pycose	1.1.0	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	PASS		843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	843818a10158200101010101010101010101010101010101010101010101010101010101010101a1015820020202020202020202020202020202020202020202020202020202020202020258200000000000000000000000000000000000000000000000000000000000000000	PASS	
cose_mac0_message_construction	mac0_hmac256_in_protected	lib_go_cose	1.3.0	84644d41433043a1010540477061796c6f6164	84644d41433043a1010540477061796c6f6164	PASS		d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_mac0_message_construction	mac0_hmac256_in_protected	lib_pycose	1.1.0	84644d41433043a1010540477061796c6f6164	84644d41433043a1010540477061796c6f6164	PASS		d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000	d18443a10105a0477061796c6f616458207f8a73ed4fa09cbc2852567bc83579ffb7d5954cb9aad2961930ef9d5c4c83e1	DIVERGE	actual=d18443a10105a0477061796c6f616458207f8a73ed4fa09cbc2852567bc83579ffb7d5954cb9aad2961930ef9d5c4c83e1 expected=d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000
cose_mac0_message_construction	mac0_hmac384_in_protected	lib_go_cose	1.3.0	84644d41433043a1010640477061796c6f6164	84644d41433043a1010640477061796c6f6164	PASS		d1844443a10106a0477061796c6f61645830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_mac0_message_construction	mac0_hmac384_in_protected	lib_pycose	1.1.0	84644d41433043a1010640477061796c6f6164	84644d41433043a1010640477061796c6f6164	PASS		d1844443a10106a0477061796c6f61645830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d18443a10106a0477061796c6f616458301029b584018ce193d3be20de02ac38895948000022b10df89c1d23c43df753825f58654ad519251af062521bdb1cae5f	DIVERGE	actual=d18443a10106a0477061796c6f616458301029b584018ce193d3be20de02ac38895948000022b10df89c1d23c43df753825f58654ad519251af062521bdb1cae5f expected=d1844443a10106a0477061796c6f61645830000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_mac0_message_construction	mac0_hmac512_in_protected	lib_go_cose	1.3.0	84644d41433043a1010740477061796c6f6164	84644d41433043a1010740477061796c6f6164	PASS		d1844443a10107a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_mac0_message_construction	mac0_hmac512_in_protected	lib_pycose	1.1.0	84644d41433043a1010740477061796c6f6164	84644d41433043a1010740477061796c6f6164	PASS		d1844443a10107a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d18443a10107a0477061796c6f616458408260c36e4a2fc2ca48461aaaa592c6fb90ba4934cc94550d9d0613479d7f39d6aac480fc0643c77ccec9f71bf84278e30b3583e4ab504e534d1a1cb54e1a2a52	DIVERGE	actual=d18443a10107a0477061796c6f616458408260c36e4a2fc2ca48461aaaa592c6fb90ba4934cc94550d9d0613479d7f39d6aac480fc0643c77ccec9f71bf84278e30b3583e4ab504e534d1a1cb54e1a2a52 expected=d1844443a10107a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_mac0_message_construction	mac0_empty_protected_kid_uhdr	lib_go_cose	1.3.0	84644d4143304040477061796c6f6164	84644d4143304040477061796c6f6164	PASS		d18440a20105044101477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_mac0_message_construction	mac0_empty_protected_kid_uhdr	lib_pycose	1.1.0	84644d4143304040477061796c6f6164	84644d4143304040477061796c6f6164	PASS		d18440a20105044101477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000	d18440a20105044101477061796c6f61645820c034c8b3469cd920c6f24b2b395f14af8c2bc20709da2dbbf98d3812d5506df6	DIVERGE	actual=d18440a20105044101477061796c6f61645820c034c8b3469cd920c6f24b2b395f14af8c2bc20709da2dbbf98d3812d5506df6 expected=d18440a20105044101477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000
cose_mac0_message_construction	mac0_with_external_aad	lib_go_cose	1.3.0	84644d41433043a1010540477061796c6f6164	84644d41433043a1010540477061796c6f6164	PASS		d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_mac0_message_construction	mac0_with_external_aad	lib_pycose	1.1.0	84644d41433043a1010540477061796c6f6164	84644d41433043a1010540477061796c6f6164	PASS		d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000	d18443a10105a0477061796c6f61645820ea651d829f340adce88c0515ae283d5e9294a82f6f93248f3755aef448c4cbba	DIVERGE	actual=d18443a10105a0477061796c6f61645820ea651d829f340adce88c0515ae283d5e9294a82f6f93248f3755aef448c4cbba expected=d1844443a10105a0477061796c6f616458200000000000000000000000000000000000000000000000000000000000000000
cose_sign1_message_construction	sign1_es256_in_protected	lib_go_cose	1.3.0	846a5369676e61747572653143a10126404474657374	846a5369676e61747572653143a10126404474657374	PASS		d2844443a10126a04474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_es256_in_protected	lib_pycose	1.1.0	846a5369676e61747572653143a10126404474657374	846a5369676e61747572653143a10126404474657374	PASS		d2844443a10126a04474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28443a10126a044746573745840126743593cfa6cbc6000cd85038e6734e702861560e2f0a5e735adee8dcf375d8323d43fb6a5be97ca30434bcd40654147efc87802094f663a7de7a500e1424a	DIVERGE	actual=d28443a10126a044746573745840126743593cfa6cbc6000cd85038e6734e702861560e2f0a5e735adee8dcf375d8323d43fb6a5be97ca30434bcd40654147efc87802094f663a7de7a500e1424a expected=d2844443a10126a04474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_sign1_message_construction	sign1_es256_in_protected_kid_in_unprotected	lib_go_cose	1.3.0	846a5369676e61747572653143a10126404474657374	846a5369676e61747572653143a10126404474657374	PASS		d2844443a10126a10444010203044474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_es256_in_protected_kid_in_unprotected	lib_pycose	1.1.0	846a5369676e61747572653143a10126404474657374	846a5369676e61747572653143a10126404474657374	PASS		d2844443a10126a10444010203044474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28443a10126a1044401020304447465737458406180e8f53ddbbb8bd0f820ea7b7d8f8f5f1b779f1cd765a319b2387fe74a9e56aff53e172230acce38a1ba9f4e30359a471367720bacbc0a41833064e41295c8	DIVERGE	actual=d28443a10126a1044401020304447465737458406180e8f53ddbbb8bd0f820ea7b7d8f8f5f1b779f1cd765a319b2387fe74a9e56aff53e172230acce38a1ba9f4e30359a471367720bacbc0a41833064e41295c8 expected=d2844443a10126a10444010203044474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_sign1_message_construction	sign1_es256_in_protected_kid_in_protected	lib_go_cose	1.3.0	846a5369676e61747572653149a20126044401020304404474657374	846a5369676e61747572653149a20126044401020304404474657374	PASS		d2844a49a20126044401020304a04474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_es256_in_protected_kid_in_protected	lib_pycose	1.1.0	846a5369676e61747572653149a20126044401020304404474657374	846a5369676e61747572653149a20126044401020304404474657374	PASS		d2844a49a20126044401020304a04474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28449a20126044401020304a0447465737458409c121a89cf9af8e21d7f528ac9925b08e48dbcc19513caff5be19b9a09d63a67ddaa55eec1b65b2217fd768256a2b024c654b557d352941bde09d910d315009e	DIVERGE	actual=d28449a20126044401020304a0447465737458409c121a89cf9af8e21d7f528ac9925b08e48dbcc19513caff5be19b9a09d63a67ddaa55eec1b65b2217fd768256a2b024c654b557d352941bde09d910d315009e expected=d2844a49a20126044401020304a04474657374584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_sign1_message_construction	sign1_two_int_headers_in_protected	lib_go_cose	1.3.0	846a5369676e61747572653146a2012603183240477061796c6f6164	846a5369676e61747572653146a2012603183240477061796c6f6164	PASS		d2844746a20126031832a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_two_int_headers_in_protected	lib_pycose	1.1.0	846a5369676e61747572653146a2012603183240477061796c6f6164	846a5369676e61747572653146a2012603183240477061796c6f6164	PASS		d2844746a20126031832a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28446a20126031832a0477061796c6f61645840640a9a2a182fba22b2570881f5b3f22c6423fa3e278ac5bd5e17713fe94fda0bfc86f8fca8281743701f6fb623b3cad462e0cea5b53051a8a04239e1b816498b	DIVERGE	actual=d28446a20126031832a0477061796c6f61645840640a9a2a182fba22b2570881f5b3f22c6423fa3e278ac5bd5e17713fe94fda0bfc86f8fca8281743701f6fb623b3cad462e0cea5b53051a8a04239e1b816498b expected=d2844746a20126031832a0477061796c6f6164584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_sign1_message_construction	sign1_int_and_tstr_headers_in_protected	lib_go_cose	1.3.0	846a5369676e61747572653153a2012664637479706a746578742f706c61696e404178	846a5369676e61747572653153a2012664637479706a746578742f706c61696e404178	PASS		d2845453a2012664637479706a746578742f706c61696ea04178584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_int_and_tstr_headers_in_protected	lib_pycose	1.1.0	846a5369676e61747572653153a2012664637479706a746578742f706c61696e404178	846a5369676e61747572653153a2012664637479706a746578742f706c61696e404178	PASS		d2845453a2012664637479706a746578742f706c61696ea04178584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28453a2012664637479706a746578742f706c61696ea041785840a73bee5895cc7be50d33765c9ea6634e6b62b5512fa5ec50f54da5da5e288b3d45ad3574d35e5ac8cf643b444b600f037387b351b3fa5ede687d8108232861e6	DIVERGE	actual=d28453a2012664637479706a746578742f706c61696ea041785840a73bee5895cc7be50d33765c9ea6634e6b62b5512fa5ec50f54da5da5e288b3d45ad3574d35e5ac8cf643b444b600f037387b351b3fa5ede687d8108232861e6 expected=d2845453a2012664637479706a746578742f706c61696ea04178584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
cose_sign1_message_construction	sign1_tstr_only_headers	lib_go_cose	1.3.0	846a5369676e61747572653151a164637479706a746578742f706c61696e404179	846a5369676e61747572653151a164637479706a746578742f706c61696e404179	PASS		d2845251a164637479706a746578742f706c61696ea163616c676545533235364179584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000		NOT_SUPPORTED	adapter returned None
cose_sign1_message_construction	sign1_tstr_only_headers	lib_pycose	1.1.0	846a5369676e61747572653151a164637479706a746578742f706c61696e404179	846a5369676e61747572653151a164637479706a746578742f706c61696e404179	PASS		d2845251a164637479706a746578742f706c61696ea163616c676545533235364179584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	d28451a164637479706a746578742f706c61696ea101264179584032c86c9db518a6788f6bf9440ae6c8d6627195b24868513324aa09f9577566c5835d7b51a15ad49bfe65b30b9ef510a14c1860be722523be0511f26531eba092	DIVERGE	actual=d28451a164637479706a746578742f706c61696ea101264179584032c86c9db518a6788f6bf9440ae6c8d6627195b24868513324aa09f9577566c5835d7b51a15ad49bfe65b30b9ef510a14c1860be722523be0511f26531eba092 expected=d2845251a164637479706a746578742f706c61696ea163616c676545533235364179584000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
