META|tool=gcc|version=gcc.exe (Rev5, Built by MSYS2 project) 16.1.0
META|tool=clang|version=unavailable
META|host=MSYS_NT-10.0-26100-ARM64 3.6.9-01d6c708.x86_64|run=local
META|round=2|barriers=asm,opaque-tu|families=d,ctl
b|05|asm|gcc-O0|0|efc4fdb1bad4d6d7deba5e9b43a1d205feda472719a43f037943138c24d2fa8d|BASELINE
b|05|asm|gcc-O2|0|efc4fdb1bad4d6d7deba5e9b43a1d205feda472719a43f037943138c24d2fa8d|OK
b|05|asm|gcc-O3|0|efc4fdb1bad4d6d7deba5e9b43a1d205feda472719a43f037943138c24d2fa8d|OK
b|06|asm|gcc-O0|0|e59edcc152b92080e577906ff435919dcd9f53221e235b41363169882a2f18b6|BASELINE
b|06|asm|gcc-O2|0|e59edcc152b92080e577906ff435919dcd9f53221e235b41363169882a2f18b6|OK
b|06|asm|gcc-O3|0|e59edcc152b92080e577906ff435919dcd9f53221e235b41363169882a2f18b6|OK
b|07|asm|gcc-O0|0|9dba307b183744a902baae801a9d90392fae418f9d327e310765af4a183fd08f|BASELINE
b|07|asm|gcc-O2|0|9dba307b183744a902baae801a9d90392fae418f9d327e310765af4a183fd08f|OK
b|07|asm|gcc-O3|0|9dba307b183744a902baae801a9d90392fae418f9d327e310765af4a183fd08f|OK
b|08|asm|gcc-O0|0|67fb5c73038d4d6d39e2cbc99a304df80100dc825fdb16c32058230e839a2977|BASELINE
b|08|asm|gcc-O2|0|67fb5c73038d4d6d39e2cbc99a304df80100dc825fdb16c32058230e839a2977|OK
b|08|asm|gcc-O3|0|67fb5c73038d4d6d39e2cbc99a304df80100dc825fdb16c32058230e839a2977|OK
b|09|asm|gcc-O0|0|3b0c427df52362682e0f32c998cc735a136a3aab383eeb7c3d2e49aa139aa2db|BASELINE
b|09|asm|gcc-O2|0|3b0c427df52362682e0f32c998cc735a136a3aab383eeb7c3d2e49aa139aa2db|OK
b|09|asm|gcc-O3|0|3b0c427df52362682e0f32c998cc735a136a3aab383eeb7c3d2e49aa139aa2db|OK
b|10|asm|gcc-O0|0|e4a75ced74ecc7ffc11a7d410b70af5837c46afac2b986f71082913f87693dbf|BASELINE
b|10|asm|gcc-O2|0|e4a75ced74ecc7ffc11a7d410b70af5837c46afac2b986f71082913f87693dbf|OK
b|10|asm|gcc-O3|0|e4a75ced74ecc7ffc11a7d410b70af5837c46afac2b986f71082913f87693dbf|OK
c|01|asm|gcc-O0|0|407ac297c299131b06218df918a406e37d0bbf1a11d251769f787c0d5f5974b6|BASELINE
c|01|asm|gcc-O2|0|407ac297c299131b06218df918a406e37d0bbf1a11d251769f787c0d5f5974b6|OK
c|01|asm|gcc-O3|0|407ac297c299131b06218df918a406e37d0bbf1a11d251769f787c0d5f5974b6|OK
c|02|asm|gcc-O0|0|91477a1edea6a0ec68f17e384f60b61df785523739e98eea92e2a844a7326f88|BASELINE
c|02|asm|gcc-O2|0|91477a1edea6a0ec68f17e384f60b61df785523739e98eea92e2a844a7326f88|OK
c|02|asm|gcc-O3|0|91477a1edea6a0ec68f17e384f60b61df785523739e98eea92e2a844a7326f88|OK
c|03|asm|gcc-O0|0|66593494fba2ae16a457b0c06ed9fccbaf7c6517bbce8e457bff950c9d907920|BASELINE
c|03|asm|gcc-O2|0|66593494fba2ae16a457b0c06ed9fccbaf7c6517bbce8e457bff950c9d907920|OK
c|03|asm|gcc-O3|0|66593494fba2ae16a457b0c06ed9fccbaf7c6517bbce8e457bff950c9d907920|OK
c|04|asm|gcc-O0|0|92c5064952d3419a3fd1be96eca5fc2578d9d949c4c617f1d1716226bf743e45|BASELINE
c|04|asm|gcc-O2|0|92c5064952d3419a3fd1be96eca5fc2578d9d949c4c617f1d1716226bf743e45|OK
c|04|asm|gcc-O3|0|92c5064952d3419a3fd1be96eca5fc2578d9d949c4c617f1d1716226bf743e45|OK
c|05|asm|gcc-O0|0|7a7b74aa1ac83894db6c5b70233d361fd1a5544298aad4482b73def11daac73b|BASELINE
c|05|asm|gcc-O2|0|7a7b74aa1ac83894db6c5b70233d361fd1a5544298aad4482b73def11daac73b|OK
